url	method	startedDateTime	time	Response status	Response content mimeType	Response content size	Response headersSize	Response bodySize	Referer	Timing blocked	Timing dns	Timing connect	Timing send	Timing wait	Timing receive	Timing ssl
https://www.jetair.be/sites/jetair/files/uploads/Jetair_1150x250_2016_FR_1.jpg	GET	2015-11-23T10:28:02.907+01:00	26	304	image/jpeg	0	393		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	2	11		13	0	
https://cdn.jetair.be/sites/jetair/files/styles/logo_payment/public/logos/payment.png?itok=aDLAs5iw	GET	2015-11-23T10:28:02.914+01:00	16	304	image/png	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	2	0	14	0	
https://cdn.jetair.be/sites/jetair/files/styles/logo_footer_right/public/logos/WOT.png?itok=lAShoeJ0	GET	2015-11-23T10:28:02.917+01:00	13	304	image/png	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	13	0	
https://cdn.jetair.be/sites/jetair/files/backgrounds/Miles_op_boom_background_Sam.jpg	GET	2015-11-23T10:28:02.954+01:00	10	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	10	0	
https://cdn.jetair.be/sites/jetair/files/styles/flexiblock_background/public/backgrounds/DIFF_720x250_1_0.jpg?itok=Oukcgxw-	GET	2015-11-23T10:28:02.959+01:00	11	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	11	0	
https://cdn.jetair.be/sites/jetair/files/styles/flexiblock_background/public/backgrounds/inspiratie1_750x220_0.jpg?itok=gbcvOPs7	GET	2015-11-23T10:28:02.962+01:00	12	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	12	0	
https://cdn.jetair.be/sites/jetair/files/styles/flexiblock_background/public/backgrounds/Jetair_WD_CABO_350x350_FR.jpg?itok=_5WO6iz5	GET	2015-11-23T10:28:02.966+01:00	9	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	9	0	
https://cdn.jetair.be/sites/jetair/files/styles/flexiblock_background/public/backgrounds/Dichtbij3_1_0.jpg?itok=7-CNspL0	GET	2015-11-23T10:28:02.969+01:00	10	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	10	0	
https://cdn.jetair.be/sites/jetair/files/styles/flexiblock_background/public/backgrounds/LM_NOV_350_FR_0.jpg?itok=CIY8sN3x	GET	2015-11-23T10:28:02.972+01:00	14	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	14	0	
https://cdn.jetair.be/sites/jetair/files/styles/flexiblock_background/public/backgrounds/PROMOS_decjan_350_FR.jpg?itok=xvDH2NrP	GET	2015-11-23T10:28:02.975+01:00	11	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	11	0	
https://www.jetair.be/sites/jetair/files/shims/styles/shim-ext.css	GET	2015-11-23T10:28:03.411+01:00	14	200	text/css	27181	581	7037	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	14	0	
https://www.jetair.be/sites/jetair/files/shims/combos/5.js	GET	2015-11-23T10:28:03.418+01:00	31	200	application/javascript	53389	596	17281	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	18	13	
https://www.jetair.be/sites/jetair/files/shims/combos/3.js	GET	2015-11-23T10:28:03.422+01:00	22	200	application/javascript	28232	596	10008	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	20	2	
https://cdn.jetair.be/sites/jetair2/files/img/calendar.png	GET	2015-11-23T10:28:03.535+01:00	9	304	image/png	0	362		https://cdn.jetair.be/sites/jetair/files/advagg_css/css__0M9477x9GFhUS0x-0aglg6PDoqeiZe8S95RIUN3VGgU__ZN4nHSK58h8olcbxpEsnBCnBjKoeQGHzdejQBurPu84__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.css	0	0	0	0	9	0	
https://cdn.jetair.be/sites/all/themes/tui/img/transparency_black_50p.png	GET	2015-11-23T10:28:03.627+01:00	12	302	image/png	0	504		https://cdn.jetair.be/sites/jetair/files/advagg_css/css__0M9477x9GFhUS0x-0aglg6PDoqeiZe8S95RIUN3VGgU__ZN4nHSK58h8olcbxpEsnBCnBjKoeQGHzdejQBurPu84__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.css	0	0	0	0	12	0	
https://cdn.jetair.be/img/static/im/26800/26883/26883A.JPG	GET	2015-11-23T10:28:03.646+01:00	12	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	12	0	
https://cdn.jetair.be/img/static/im/15800/15820/15820B.JPG	GET	2015-11-23T10:28:03.648+01:00	10	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	10	0	
https://cdn.jetair.be/img/static/im/08800/08878/08878T.JPG	GET	2015-11-23T10:28:03.650+01:00	9	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	9	0	
https://cdn.jetair.be/img/static/im/03200/03274/03274R.JPG	GET	2015-11-23T10:28:03.652+01:00	9	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	9	0	
https://cdn.jetair.be/img/static/im/16000/16060/16060F.JPG	GET	2015-11-23T10:28:03.654+01:00	12	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	12	0	
https://cdn.jetair.be/img/static/im/09600/09682/09682O.JPG	GET	2015-11-23T10:28:03.656+01:00	10	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	10	0	
https://cdn.jetair.be/img/static/im/16800/16853/16853C.JPG	GET	2015-11-23T10:28:03.658+01:00	10	304	image/jpeg	0	362		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	1	0	9	0	
https://tuieu.cm-apps.co.uk/cma/Tracking/TrackingScript/?data=TVwBy9U%2BCuORcbtlyhSpYCyjLEonaoMc8ko1mWNY3u31xhVtZpMsAErO7z%2Bmkv%2Fnm6%2B0QaIvWM6BiYjkNeCKxGMvGo0XneelRezDAqriblW4fxSjZXyP1uW4HwIAssA1	GET	2015-11-23T10:28:03.665+01:00	43	200	text/javascript; charset=utf-8	2990	300	1241	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	2	12	9	20	0	
https://www.jetair.be/sites/jetair/files/shims/i18n/formcfg-fr.js	GET	2015-11-23T10:28:03.807+01:00	11	200	application/javascript	2442	593	884	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	11	0	
https://www.jetair.be/sites/jetair/themes/jetair/logo.png	GET	2015-11-23T10:28:04.077+01:00	12	304	image/png	0	392		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	12	0	
https://tuieu.cm-apps.co.uk/cma/Tracking/UserTracker/?siteData=TVwBy9U+CuORcbtlyhSpYCyjLEonaoMc8ko1mWNY3u31xhVtZpMsAErO7z+mkv/nm6+0QaIvWM6BiYjkNeCKxGMvGo0XneelRezDAqriblW4fxSjZXyP1uW4HwIAssA1&cmid=undefined&aid=76176552	GET	2015-11-23T10:28:04.264+01:00	29	200	text/javascript; charset=utf-8	517	299	309	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	29	0	
https://www.jetair.be/sites/all/themes/tui/img/transparency_black_50p.png	GET	2015-11-23T10:28:04.388+01:00	10	304	image/png	0	391		https://cdn.jetair.be/sites/jetair/files/advagg_css/css__0M9477x9GFhUS0x-0aglg6PDoqeiZe8S95RIUN3VGgU__ZN4nHSK58h8olcbxpEsnBCnBjKoeQGHzdejQBurPu84__HkK7BwWnIoZ97KwjYK9sK3-BwO3jPwMXj6ES8_nj3Ns.css	0	0	0	0	10	0	
https://www.googletagmanager.com/gtm.js?id=GTM-P2CSWB	GET	2015-11-23T10:28:04.454+01:00	68	200	application/javascript; charset=UTF-8	84944	414	32073	https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	30	0	24	14	
https://www.jetair.be/sites/jetair/files/shims/form-validation.js	GET	2015-11-23T10:28:05.071+01:00	0	200	application/javascript	17122	0		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	0	0	
https://www.jetair.be/sites/jetair/files/shims/styles/forms-picker.css	GET	2015-11-23T10:28:05.088+01:00	0	200	text/css	10171	0		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	0	0	
https://www.jetair.be/sites/jetair/files/shims/forms-picker.js	GET	2015-11-23T10:28:05.092+01:00	0	200	application/javascript	36420	0		https://www.jetair.be/fr?abta=118501&resetRa=y&gclid=COejqdaLpskCFYOfGwodbbQKkA	0	0	0	0	0	0	
